"Types of Crops","musym.x","mukey","cokey","muname","taxorder","compname","slope.r","slopegradwta","slope.l","slope.h","localphase","erokind","erocl","tfact","Kfact","wei","niccdcd","hydgrp","soilslippot","drainagecl","drclassdcd","awc","aws025wta","aws0150wta","flodfreqcl","floddurcl","pondfreqcl","ponddurcl","flodfreqdcd","flodfreqmax","pondfreqprs","iacornsr","ph","ph_l","ph_h","cec7","gypsum","ksat","ec","sar","caco3","om","ptotal","soilTextdes","Soil Types","Rooting Depth","pH-Level","Temperature Tolerances","ph_L","ph_H","Boron","Copper","Zinc","Molybdenum","Iron","Manganese","Soil Boron","Soil Magnesium","Storage Life","Crop Maturity Late Variety","Crop Maturity Early Variety (days)","Storage Humidity (%)","Storage Temp (  ̊F)","Base Temp in F","Nitrogen","Example","Year","Month","Flags","FlagDesc"
"Asparagus","95",2835178,22116792,"Harps clay loam, 0 to 2 percent slopes","Mollisols","Harps",1,0.9,0,2,"",NA,"None - deposition",5,0.266666666666667,86,2,"C/D",NA,"Poorly drained","Poorly drained",0.18,4.53,27.02,"None","","None","","None","None",13,72,7.83333333333333,7.13333333333333,8.4,21.2,0,4.93666666666667,0,0,25,4.5,NA,"Clay loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,4,"August-October",3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Asparagus","95",2835178,22116792,"Harps clay loam, 0 to 2 percent slopes","Mollisols","Harps",1,0.9,0,2,"",NA,"None - deposition",5,0.266666666666667,86,2,"C/D",NA,"Poorly drained","Poorly drained",0.18,4.53,27.02,"None","","None","","None","None",13,72,7.83333333333333,7.13333333333333,8.4,21.2,0,4.93666666666667,0,0,25,4.5,NA,"Clay loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,0,"Fall",3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Asparagus","6",412700,22116818,"Okoboji silty clay loam, 0 to 1 percent slopes","Mollisols","Okoboji",0,0.2,0,1,"",NA,"None - deposition",5,0.336666666666667,86,3,"C/D",NA,"Very poorly drained","Very poorly drained",0.21,5.35,30.38,"None","","Occasional","Brief (2 to 7 days)","None","None",85,59,6.96666666666667,6.43333333333333,7.46666666666667,28.8666666666667,0,0.92,0,0,0,5.5,NA,"Silty clay loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,4,"August-October",2,"soil texture does not match, this soil's drainage may be limited"
"Asparagus","6",412700,22116818,"Okoboji silty clay loam, 0 to 1 percent slopes","Mollisols","Okoboji",0,0.2,0,1,"",NA,"None - deposition",5,0.336666666666667,86,3,"C/D",NA,"Very poorly drained","Very poorly drained",0.21,5.35,30.38,"None","","Occasional","Brief (2 to 7 days)","None","None",85,59,6.96666666666667,6.43333333333333,7.46666666666667,28.8666666666667,0,0.92,0,0,0,5.5,NA,"Silty clay loam","Sandy loam","Deep (>36 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0","Low","Low","Medium","Low","-","High","Semi-Tolerant","Not Tolerant","2-3 weeks",120,90,"95-100","36",32,"Apply 1.6 to 2.4 ounces of N per 100 square foot area in early spring as the asparagus emerges and again after the last harvest in June.",4,0,"Fall",2,"soil texture does not match, this soil's drainage may be limited"
"Cabbage","507",412692,22116954,"Canisteo clay loam, 0 to 2 percent slopes","Mollisols","Canisteo",1,0.9,0,2,"",NA,"None - deposition",5,0.266666666666667,86,2,"C/D",NA,"Poorly drained","Poorly drained",0.18,4.63,27.18,"None","","None","","None","None",15,84,7.63333333333333,7.4,7.8,25.1666666666667,0,2.82,0,0,11,5,NA,"Clay loam","Loam","Moderate (18-24 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Tolerant","5-6 months",150,120,"98-100","32",65,"Side-dress with 8 ounces of N per 250 foot row when plants are half grown.",NA,NA,NA,3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Cabbage","55",2800483,22116853,"Nicollet clay loam, 1 to 3 percent slopes","Mollisols","Nicollet",2,1.9,1,3,"","Sheet erosion","Class 1",5,0.293333333333333,48,1,"C/D",NA,"Somewhat poorly drained","Somewhat poorly drained",0.176666666666667,4.58,26.8,"None","","None","","None","None",5,89,6.33333333333333,5.76666666666667,7.3,24.9666666666667,0,2.82,0,0,0,3.75,NA,"Clay loam","Loam","Moderate (18-24 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Tolerant","5-6 months",150,120,"98-100","32",65,"Side-dress with 8 ounces of N per 250 foot row when plants are half grown.",NA,NA,NA,1,"soil texture does not match"
"Cabbage","107",2835033,22116763,"Webster clay loam, 0 to 2 percent slopes","Mollisols","Webster",1,1,0,2,"",NA,"None - deposition",5,0.28,48,2,"C/D",NA,"Poorly drained","Poorly drained",0.18,4.55,26.66,"None","","None","","None","None",8,86,6.7,5.85,7.3,27.9,0,2.82,0,0,0,6,NA,"Clay loam","Loam","Moderate (18-24 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Tolerant","5-6 months",150,120,"98-100","32",65,"Side-dress with 8 ounces of N per 250 foot row when plants are half grown.",NA,NA,NA,2,"soil texture does not match, this soil's drainage may be limited"
"Cabbage","138B",412656,22116611,"Clarion loam, 2 to 6 percent slopes","Mollisols","Clarion",3,3.1,2,6,"","Sheet erosion","Class 1",5,0.28,48,2,"C",NA,"Moderately well drained","Moderately well drained",0.19,5.01,27.46,"None","","None","","None","None",0,89,6.33333333333333,5.76666666666667,7.3,20.3,0,9.17,0,0,0,2.25,NA,"Loam","Loam","Moderate (18-24 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Tolerant","5-6 months",150,120,"98-100","32",65,"Side-dress with 8 ounces of N per 250 foot row when plants are half grown.",NA,NA,NA,0,""
"Cabbage","6",412700,22116818,"Okoboji silty clay loam, 0 to 1 percent slopes","Mollisols","Okoboji",0,0.2,0,1,"",NA,"None - deposition",5,0.32,86,3,"C/D",NA,"Very poorly drained","Very poorly drained",0.22,5.35,30.38,"None","","Occasional","Brief (2 to 7 days)","None","None",85,59,6.9,6.35,7.3,29.35,0,0.92,0,0,0,7.5,NA,"Silty clay loam","Loam","Moderate (18-24 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Tolerant","5-6 months",150,120,"98-100","32",65,"Side-dress with 8 ounces of N per 250 foot row when plants are half grown.",NA,NA,NA,2,"soil texture does not match, this soil's drainage may be limited"
"Cabbage","95",2835178,22116792,"Harps clay loam, 0 to 2 percent slopes","Mollisols","Harps",1,0.9,0,2,"",NA,"None - deposition",5,0.266666666666667,86,2,"C/D",NA,"Poorly drained","Poorly drained",0.18,4.53,27.02,"None","","None","","None","None",13,72,7.83333333333333,7.13333333333333,8.4,21.2,0,4.93666666666667,0,0,25,4.5,NA,"Clay loam","Loam","Moderate (18-24 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Tolerant","5-6 months",150,120,"98-100","32",65,"Side-dress with 8 ounces of N per 250 foot row when plants are half grown.",NA,NA,NA,3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Cabbage","138B",412656,22116611,"Clarion loam, 2 to 6 percent slopes","Mollisols","Clarion",3,3.1,2,6,"","Sheet erosion","Class 1",5,0.28,48,2,"C",NA,"Moderately well drained","Moderately well drained",0.19,5.01,27.46,"None","","None","","None","None",0,89,6.33333333333333,5.76666666666667,7.3,20.3,0,9.17,0,0,0,2.25,NA,"Loam","Loam","Moderate (18-24 inches)","6.0-7.0","Cool-season (Hardy)","6.0","7.0",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Tolerant","5-6 months",150,120,"98-100","32",65,"Side-dress with 8 ounces of N per 250 foot row when plants are half grown.",NA,NA,NA,0,""
"Cantaloupe","6",412700,22116818,"Okoboji silty clay loam, 0 to 1 percent slopes","Mollisols","Okoboji",0,0.2,0,1,"",NA,"None - deposition",5,0.32,86,3,"C/D",NA,"Very poorly drained","Very poorly drained",0.22,5.35,30.38,"None","","Occasional","Brief (2 to 7 days)","None","None",85,59,6.9,6.35,7.3,29.35,0,0.92,0,0,0,7.5,NA,"Silty clay loam","Loam","Moderate (18-24 inches)","6.0-6.5","Warm-season (Very Tender)","6.0","6.5",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Not Tolerant","2-3 weeks",NA,NA,"95","36-41",NA,"When the plants begin to vine, in midseason, apply a side-dressing of 2.5 ounces of N for each 250 feet of row.",5,1,"May-September",3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Cantaloupe","138B",412656,22116611,"Clarion loam, 2 to 6 percent slopes","Mollisols","Clarion",3,3.1,2,6,"","Sheet erosion","Class 1",5,0.28,48,2,"C",NA,"Moderately well drained","Moderately well drained",0.19,5.01,27.46,"None","","None","","None","None",0,89,6.33333333333333,5.76666666666667,7.3,20.3,0,9.17,0,0,0,2.25,NA,"Loam","Loam","Moderate (18-24 inches)","6.0-6.5","Warm-season (Very Tender)","6.0","6.5",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Not Tolerant","2-3 weeks",NA,NA,"95","36-41",NA,"When the plants begin to vine, in midseason, apply a side-dressing of 2.5 ounces of N for each 250 feet of row.",5,1,"May-September",0,""
"Cantaloupe","95",2835178,22116792,"Harps clay loam, 0 to 2 percent slopes","Mollisols","Harps",1,0.9,0,2,"",NA,"None - deposition",5,0.266666666666667,86,2,"C/D",NA,"Poorly drained","Poorly drained",0.18,4.53,27.02,"None","","None","","None","None",13,72,7.83333333333333,7.13333333333333,8.4,21.2,0,4.93666666666667,0,0,25,4.5,NA,"Clay loam","Loam","Moderate (18-24 inches)","6.0-6.5","Warm-season (Very Tender)","6.0","6.5",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Not Tolerant","2-3 weeks",NA,NA,"95","36-41",NA,"When the plants begin to vine, in midseason, apply a side-dressing of 2.5 ounces of N for each 250 feet of row.",5,1,"May-September",3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Cantaloupe","107",2835033,22116763,"Webster clay loam, 0 to 2 percent slopes","Mollisols","Webster",1,1,0,2,"",NA,"None - deposition",5,0.28,48,2,"C/D",NA,"Poorly drained","Poorly drained",0.18,4.55,26.66,"None","","None","","None","None",8,86,6.7,5.85,7.3,27.9,0,2.82,0,0,0,6,NA,"Clay loam","Loam","Moderate (18-24 inches)","6.0-6.5","Warm-season (Very Tender)","6.0","6.5",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Not Tolerant","2-3 weeks",NA,NA,"95","36-41",NA,"When the plants begin to vine, in midseason, apply a side-dressing of 2.5 ounces of N for each 250 feet of row.",5,1,"May-September",3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Cantaloupe","507",412692,22116954,"Canisteo clay loam, 0 to 2 percent slopes","Mollisols","Canisteo",1,0.9,0,2,"",NA,"None - deposition",5,0.266666666666667,86,2,"C/D",NA,"Poorly drained","Poorly drained",0.18,4.63,27.18,"None","","None","","None","None",15,84,7.63333333333333,7.4,7.8,25.1666666666667,0,2.82,0,0,11,5,NA,"Clay loam","Loam","Moderate (18-24 inches)","6.0-6.5","Warm-season (Very Tender)","6.0","6.5",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Not Tolerant","2-3 weeks",NA,NA,"95","36-41",NA,"When the plants begin to vine, in midseason, apply a side-dressing of 2.5 ounces of N for each 250 feet of row.",5,1,"May-September",3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Cantaloupe","55",2800483,22116853,"Nicollet clay loam, 1 to 3 percent slopes","Mollisols","Nicollet",2,1.9,1,3,"","Sheet erosion","Class 1",5,0.293333333333333,48,1,"C/D",NA,"Somewhat poorly drained","Somewhat poorly drained",0.176666666666667,4.58,26.8,"None","","None","","None","None",5,89,6.33333333333333,5.76666666666667,7.3,24.9666666666667,0,2.82,0,0,0,3.75,NA,"Clay loam","Loam","Moderate (18-24 inches)","6.0-6.5","Warm-season (Very Tender)","6.0","6.5",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Not Tolerant","2-3 weeks",NA,NA,"95","36-41",NA,"When the plants begin to vine, in midseason, apply a side-dressing of 2.5 ounces of N for each 250 feet of row.",5,1,"May-September",1,"soil texture does not match"
"Cantaloupe","138B",412656,22116611,"Clarion loam, 2 to 6 percent slopes","Mollisols","Clarion",3,3.1,2,6,"","Sheet erosion","Class 1",5,0.28,48,2,"C",NA,"Moderately well drained","Moderately well drained",0.19,5.01,27.46,"None","","None","","None","None",0,89,6.33333333333333,5.76666666666667,7.3,20.3,0,9.17,0,0,0,2.25,NA,"Loam","Loam","Moderate (18-24 inches)","6.0-6.5","Warm-season (Very Tender)","6.0","6.5",NA,NA,NA,NA,NA,NA,"Semi-Tolerant","Not Tolerant","2-3 weeks",NA,NA,"95","36-41",NA,"When the plants begin to vine, in midseason, apply a side-dressing of 2.5 ounces of N for each 250 feet of row.",5,1,"May-September",0,""
"Carrot","6",412700,22116818,"Okoboji silty clay loam, 0 to 1 percent slopes","Mollisols","Okoboji",0,0.2,0,1,"",NA,"None - deposition",5,0.32,86,3,"C/D",NA,"Very poorly drained","Very poorly drained",0.22,5.35,30.38,"None","","Occasional","Brief (2 to 7 days)","None","None",85,59,6.8,6.1,7.3,29.5,0,0.92,0,0,0,9,NA,"Silty clay loam","Sandy clay","Shallow (6-12 inches)","5.5-7.0","Cool-season (Semi-Hardy)","5.5","7.0","Medium","Medium","High","Low","Medium","High","Semi-Tolerant","Not Tolerant","10-14 days",95,60,"98-100","32",50,"Side-dress with 4 ounces of N per 250 foot of row, 4 to 6 weeks after planting. Do not apply fresh manure; misshapen roots may result.",2,3,"April-August",3,"soil texture does not match, this soil's organic matter percent could be an issue, this soil's drainage may be limited"
"Carrot","138B",412656,22116611,"Clarion loam, 2 to 6 percent slopes","Mollisols","Clarion",3,3.1,2,6,"","Sheet erosion","Class 1",5,0.24,48,2,"C",NA,"Moderately well drained","Moderately well drained",0.21,5.01,27.46,"None","","None","","None","None",0,89,6.2,5.6,7.3,21.3,0,9.17,0,0,0,3.5,NA,"Loam","Sandy clay","Shallow (6-12 inches)","5.5-7.0","Cool-season (Semi-Hardy)","5.5","7.0","Medium","Medium","High","Low","Medium","High","Semi-Tolerant","Not Tolerant","10-14 days",95,60,"98-100","32",50,"Side-dress with 4 ounces of N per 250 foot of row, 4 to 6 weeks after planting. Do not apply fresh manure; misshapen roots may result.",2,3,"April-August",1,"soil texture does not match"
"Carrot","95",2835178,22116792,"Harps clay loam, 0 to 2 percent slopes","Mollisols","Harps",1,0.9,0,2,"",NA,"None - deposition",5,0.24,86,2,"C/D",NA,"Poorly drained","Poorly drained",0.18,4.53,27.02,"None","","None","","None","None",13,72,7.5,6.6,8.4,23.5,0,2.82,0,0,25,7,NA,"Clay loam","Sandy clay","Shallow (6-12 inches)","5.5-7.0","Cool-season (Semi-Hardy)","5.5","7.0","Medium","Medium","High","Low","Medium","High","Semi-Tolerant","Not Tolerant","10-14 days",95,60,"98-100","32",50,"Side-dress with 4 ounces of N per 250 foot of row, 4 to 6 weeks after planting. Do not apply fresh manure; misshapen roots may result.",2,3,"April-August",3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Carrot","138B",412656,22116611,"Clarion loam, 2 to 6 percent slopes","Mollisols","Clarion",3,3.1,2,6,"","Sheet erosion","Class 1",5,0.24,48,2,"C",NA,"Moderately well drained","Moderately well drained",0.21,5.01,27.46,"None","","None","","None","None",0,89,6.2,5.6,7.3,21.3,0,9.17,0,0,0,3.5,NA,"Loam","Sandy clay","Shallow (6-12 inches)","5.5-7.0","Cool-season (Semi-Hardy)","5.5","7.0","Medium","Medium","High","Low","Medium","High","Semi-Tolerant","Not Tolerant","10-14 days",95,60,"98-100","32",50,"Side-dress with 4 ounces of N per 250 foot of row, 4 to 6 weeks after planting. Do not apply fresh manure; misshapen roots may result.",2,3,"April-August",1,"soil texture does not match"
"Carrot","507",412692,22116954,"Canisteo clay loam, 0 to 2 percent slopes","Mollisols","Canisteo",1,0.9,0,2,"",NA,"None - deposition",5,0.28,86,2,"C/D",NA,"Poorly drained","Poorly drained",0.18,4.63,27.18,"None","","None","","None","None",15,84,7.5,7.4,7.8,25,0,2.82,0,0,13,7,NA,"Clay loam","Sandy clay","Shallow (6-12 inches)","5.5-7.0","Cool-season (Semi-Hardy)","5.5","7.0","Medium","Medium","High","Low","Medium","High","Semi-Tolerant","Not Tolerant","10-14 days",95,60,"98-100","32",50,"Side-dress with 4 ounces of N per 250 foot of row, 4 to 6 weeks after planting. Do not apply fresh manure; misshapen roots may result.",2,3,"April-August",3,"pH does not fit into range, soil texture does not match, this soil's drainage may be limited"
"Carrot","55",2800483,22116853,"Nicollet clay loam, 1 to 3 percent slopes","Mollisols","Nicollet",2,1.9,1,3,"","Sheet erosion","Class 1",5,0.28,48,1,"C/D",NA,"Somewhat poorly drained","Somewhat poorly drained",0.18,4.58,26.8,"None","","None","","None","None",5,89,6.2,5.6,7.3,25.6,0,2.82,0,0,0,6,NA,"Clay loam","Sandy clay","Shallow (6-12 inches)","5.5-7.0","Cool-season (Semi-Hardy)","5.5","7.0","Medium","Medium","High","Low","Medium","High","Semi-Tolerant","Not Tolerant","10-14 days",95,60,"98-100","32",50,"Side-dress with 4 ounces of N per 250 foot of row, 4 to 6 weeks after planting. Do not apply fresh manure; misshapen roots may result.",2,3,"April-August",1,"soil texture does not match"
"Carrot","107",2835033,22116763,"Webster clay loam, 0 to 2 percent slopes","Mollisols","Webster",1,1,0,2,"",NA,"None - deposition",5,0.28,48,2,"C/D",NA,"Poorly drained","Poorly drained",0.18,4.55,26.66,"None","","None","","None","None",8,86,6.5,5.6,7.3,28.1,0,2.82,0,0,0,7,NA,"Clay loam","Sandy clay","Shallow (6-12 inches)","5.5-7.0","Cool-season (Semi-Hardy)","5.5","7.0","Medium","Medium","High","Low","Medium","High","Semi-Tolerant","Not Tolerant","10-14 days",95,60,"98-100","32",50,"Side-dress with 4 ounces of N per 250 foot of row, 4 to 6 weeks after planting. Do not apply fresh manure; misshapen roots may result.",2,3,"April-August",2,"soil texture does not match, this soil's drainage may be limited"
