recdate,comptextkind,textcat,textsubcat,text,cokey,cotextkey
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Ely soil is a minor component.,22088147,22417947
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Tama, eroded component makes up 90 percent of the map unit. Slopes are 9 to 14 percent. This component is on hillslopes on dissected till plains. The parent material consists of fine-silty loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY503IA Loess Upland Prairie ecological site. Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22088148,22417948
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Shelby, eroded soil is a minor component.",22088149,22417949
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Colo, occasionally flooded component makes up 90 percent of the map unit. Slopes are 0 to 2 percent. This component is on flood plains on river valleys. The parent material consists of silty alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is occasionally flooded. It is not ponded. A seasonal zone of water saturation is at 0 inches during April. Organic matter content in the surface horizon is about 5 percent. This component is in the R108CY527IA Wet Floodplain Sedge Meadow ecological site. Nonirrigated land capability classification is 2w.  This soil meets hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22088442,22418242
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Ely soil is a minor component.,22088443,22418243
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Zook, occasionally flooded soil is a minor component.",22088444,22418244
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Colo, overwash, occasionally flooded component makes up 90 percent of the map unit. Slopes are 0 to 2 percent. This component is on flood plains on river valleys. The parent material consists of silty alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is occasionally flooded. It is not ponded. A seasonal zone of water saturation is at 0 inches during April. Organic matter content in the surface horizon is about 4 percent. This component is in the R108CY527IA Wet Floodplain Sedge Meadow ecological site. Nonirrigated land capability classification is 2w.  This soil meets hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22088440,22418240
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Ackmore, occasionally flooded soil is a minor component.",22088441,22418241
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Downs, eroded component makes up 95 percent of the map unit. Slopes are 5 to 9 percent. This component is on interfluves on dissected till plains. The parent material consists of fine-silty loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY504IA Loess Upland Savanna ecological site. Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22087911,22417711
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Greenbush, eroded soil is a minor component.",22087912,22417712
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Gara, eroded soil is a minor component.",22087917,22417717
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Ely soil is a minor component.,22087918,22417718
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Downs, eroded component makes up 90 percent of the map unit. Slopes are 9 to 14 percent. This component is on hillslopes on dissected till plains. The parent material consists of fine-silty loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY504IA Loess Upland Savanna ecological site. Nonirrigated land capability classification is 4e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22087919,22417719
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Fayette, eroded component makes up 90 percent of the map unit. Slopes are 14 to 18 percent. This component is on hillslopes on dissected till plains. The parent material consists of fine-silty loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 2 percent. This component is in the F108CY505IA Loess Upland Woodland ecological site. Nonirrigated land capability classification is 4e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22087891,22417691
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Lindley, eroded soil is a minor component.",22087892,22417692
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Keswick, eroded soil is a minor component.",22087893,22417693
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,The Gara component makes up 95 percent of the map unit. Slopes are 14 to 18 percent. This component is on hillslopes on uplands. The parent material consists of subglacial till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY511IA Till Backslope Savanna ecological site. Nonirrigated land capability classification is 6e.  This soil does not meet hydric criteria.   ,22087287,22417087
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Lindley soil is a minor component.,22087288,22417088
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Gara, moderately eroded component makes up 95 percent of the map unit. Slopes are 14 to 18 percent. This component is on hillslopes on uplands. The parent material consists of subglacial till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY511IA Till Backslope Savanna ecological site. Nonirrigated land capability classification is 6e.  This soil does not meet hydric criteria.   ",22087289,22417089
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Keswick, moderately eroded soil is a minor component.",22087290,22417090
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,The Gara component makes up 100 percent of the map unit. Slopes are 18 to 25 percent. This component is on hillslopes on uplands. The parent material consists of subglacial till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY511IA Till Backslope Savanna ecological site. Nonirrigated land capability classification is 6e.  This soil does not meet hydric criteria.   ,22087291,22417091
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Adair, moderately eroded component makes up 100 percent of the map unit. Slopes are 9 to 14 percent. This component is on hillslopes on uplands. The parent material consists of red paleosol and underlying subglacial till. Depth to a root restrictive layer, abrupt textural change,  inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 12 inches during October. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY509IA Till Backslope Prairie ecological site. Nonirrigated land capability classification is 4e.  This soil does not meet hydric criteria.   ",22087292,22417092
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Killduff, eroded component makes up 95 percent of the map unit. Slopes are 5 to 9 percent. This component is on hillslopes on dissected till plains. The parent material consists of fine-silty loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is very high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 48 inches during April. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY503IA Loess Upland Prairie ecological site. Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22088158,22417958
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Clarinda, eroded soil is a minor component.",22088159,22417959
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Killduff, eroded component makes up 95 percent of the map unit. Slopes are 9 to 14 percent. This component is on hillslopes on dissected till plains. The parent material consists of fine-silty loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is very high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 48 inches during April. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY503IA Loess Upland Prairie ecological site. Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22088160,22417960
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Clarinda, eroded soil is a minor component.",22088161,22417961
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Colo, occasionally flooded soil is a minor component.",22088355,22418155
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Quiver, frequently flooded, ponded soil is a minor component.",22088356,22418156
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Klum, occasionally flooded soil is a minor component.",22088357,22418157
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Nodaway, occasionally flooded component makes up 85 percent of the map unit. Slopes are 0 to 2 percent. This component is on flood plains on river valleys. The parent material consists of stratified silty alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is very high.  Shrink-swell potential is low. This soil is occasionally flooded. It is not ponded. A seasonal zone of water saturation is at 48 inches during April. Organic matter content in the surface horizon is about 3 percent. This component is in the F108CY529IA Loamy Floodplain Forest ecological site. Nonirrigated land capability classification is 2w.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22088358,22418158
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Shelby, moderately eroded component makes up 85 percent of the map unit. Slopes are 14 to 18 percent. This component is on hillslopes on uplands. The parent material consists of subglacial till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY509IA Till Backslope Prairie ecological site. Nonirrigated land capability classification is 4e.  This soil does not meet hydric criteria.   ",22087244,22417044
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Clarinda, moderately eroded soil is a minor component.",22087245,22417045
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Adair, moderately eroded soil is a minor component.",22087246,22417046
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Lamoni, moderately eroded soil is a minor component.",22087247,22417047
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Ely component makes up 95 percent of the map unit. Slopes are 2 to 5 percent. This component is on drainageways on dissected till plains. The parent material consists of silty colluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 12 inches during April. Organic matter content in the surface horizon is about 5 percent. This component is in the R108CY519IA Colluvial Woodland, Upland Drainageway Woodland, Wet Upland Drainageway Prairie ecological site. Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22088445,22418245
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Colo, occasionally flooded soil is a minor component.",22088446,22418246
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Bremer, rarely flooded component makes up 90 percent of the map unit. Slopes are 0 to 2 percent. This component is on stream terraces on river valleys. The parent material consists of silty alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is high. This soil is rarely flooded. It is not ponded. A seasonal zone of water saturation is at 0 inches during April. Organic matter content in the surface horizon is about 6 percent. This component is in the R108CY523IA Wet Terrace Sedge Meadow ecological site. Nonirrigated land capability classification is 2w.  This soil meets hydric criteria.   ",22087253,22417053
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Zook, rarely flooded soil is a minor component.",22087254,22417054
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Nevin, rarely flooded soil is a minor component.",22087255,22417055
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Colo, occasionally flooded soil is a minor component.",22088647,22418447
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Ackmore, occasionally flooded component makes up 90 percent of the map unit. Slopes are 0 to 2 percent. This component is on flood-plain steps on river valleys. The parent material consists of fine-silty alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is moderate. This soil is occasionally flooded. It is not ponded. A seasonal zone of water saturation is at 12 inches during April. Organic matter content in the surface horizon is about 2 percent. This component is in the F108CY529IA Loamy Floodplain Forest ecological site. Nonirrigated land capability classification is 2w.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22088648,22418448
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Caleb, moderately eroded component makes up 100 percent of the map unit. Slopes are 9 to 14 percent. This component is on stream terraces on river valleys. The parent material consists of alluvial sediments derived from till. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 48 inches during April. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY511IA Till Backslope Savanna ecological site. Nonirrigated land capability classification is 4e.  This soil does not meet hydric criteria.   ",22087317,22417117
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Downs, terrace component makes up 100 percent of the map unit. Slopes are 2 to 5 percent. This component is on stream terraces on river valleys. The parent material consists of loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY504IA Loess Upland Savanna ecological site. Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria.   ",22087320,22417120
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Downs, moderately eroded, terrace component makes up 85 percent of the map unit. Slopes are 5 to 9 percent. This component is on stream terraces on river valleys. The parent material consists of loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY504IA Loess Upland Savanna ecological site. Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria.   ",22087321,22417121
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Colo, Frequently flooded soil is a minor component.",22087322,22417122
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Fayette, moderately eroded, terrace soil is a minor component.",22087323,22417123
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Ely soil is a minor component.,22087324,22417124
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Judson soil is a minor component.,22087325,22417125
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Colo, occasionally flooded soil is a minor component.",22088651,22418451
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Lawson, occasionally flooded component makes up 95 percent of the map unit. Slopes are 0 to 2 percent. This component is on flood-plain steps on river valleys. The parent material consists of fine-silty alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is moderate. This soil is occasionally flooded. It is not ponded. A seasonal zone of water saturation is at 12 inches during April. Organic matter content in the surface horizon is about 5 percent. This component is in the F108CY529IA Loamy Floodplain Forest ecological site. Nonirrigated land capability classification is 2w.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. ",22088652,22418452
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Downs variant, moderately eroded component makes up 90 percent of the map unit. Slopes are 9 to 14 percent. This component is on hillslopes on uplands. The parent material consists of loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 3 percent. This component is in the R108CY504IA Loess Upland Savanna ecological site. Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria.   ",22087329,22417129
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Downs, moderately eroded soil is a minor component.",22087330,22417130
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Tama, moderately eroded soil is a minor component.",22087331,22417131
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Vesser, occasionally flooded component makes up 95 percent of the map unit. Slopes are 0 to 2 percent. This component is on flood plains on river valleys. The parent material consists of silty alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is very high.  Shrink-swell potential is moderate. This soil is occasionally flooded. It is not ponded. A seasonal zone of water saturation is at 0 inches during April. Organic matter content in the surface horizon is about 4 percent. This component is in the R108CY527IA Wet Floodplain Sedge Meadow ecological site. Nonirrigated land capability classification is 2w.  This soil meets hydric criteria.   ",22087256,22417056
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Colo, occasionally flooded soil is a minor component.",22087257,22417057
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Armstrong, moderately eroded component makes up 95 percent of the map unit. Slopes are 9 to 14 percent. This component is on hillslopes on uplands. The parent material consists of red paleosol and underlying subglacial till. Depth to a root restrictive layer, abrupt textural change,  inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is high. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 12 inches during October. Organic matter content in the surface horizon is about 2 percent. This component is in the R108CY511IA Till Backslope Savanna ecological site. Nonirrigated land capability classification is 4e.  This soil does not meet hydric criteria.   ",22087345,22417145
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Gara, moderately eroded soil is a minor component.",22087346,22417146
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Nevin, rarely flooded component makes up 95 percent of the map unit. Slopes are 0 to 2 percent. This component is on stream terraces on river valleys. The parent material consists of silty alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is very high.  Shrink-swell potential is moderate. This soil is rarely flooded. It is not ponded. A seasonal zone of water saturation is at 12 inches during April. Organic matter content in the surface horizon is about 5 percent. This component is in the R108CY522IA Terrace Savanna ecological site. Nonirrigated land capability classification is 1.  This soil does not meet hydric criteria.   ",22087271,22417071
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Bremer, rarely flooded soil is a minor component.",22087272,22417072
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"The Judson component makes up 90 percent of the map unit. Slopes are 2 to 5 percent. This component is on alluvial fans on river valleys. The parent material consists of silty colluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is very high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 4 percent. This component is in the F108CY521IA Colluvial Woodland ecological site. Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria. The calcium carbonate equivalent within 40 inches, typically, does not exceed 5 percent.  ",22087231,22417031
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,"Generated brief soil descriptions are created for major soil components.  The Colo, Frequently flooded soil is a minor component.",22087232,22417032
08/17/2021 00:00:00,Nontechnical description,GENSOIL,generated,Generated brief soil descriptions are created for major soil components.  The Ely soil is a minor component.,22087233,22417033
