cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
22073717,825,"GRL - Fencing, Post Depth =<24 inches",1,10032,GRL-Depth to Water Table <24 inches,1,0,=>24 inches to water table,1,<24 inches to water table,1,<24 inches to water table,1,<24 inches to water table,0,0,0,1572032772
22073717,57990,SOH - Soil Susceptibility to Compaction,3,61420,"Compaction potential - structure rating, 0-30cm",1,1,"Soil structure grade, 0-12 inches",1,"Soil structure grade, 0-12 inches",1,"Soil structure grade, 0-12 inches",1,"Soil structure grade, 0-12 inches",0,0,0,1572032773
22073717,1406,URB/REC - Paths and Trails,2,23660,Dust PM10 and PM2.5 Generation,1,0.038,Dusty,0.038,Dusty,0.038,Dusty,0.038,Dusty,0,0,0,1572032774
22073717,70154,SOH - Limitations for Aerobic Soil Organisms,0,70154,SOH - Limitations for Aerobic Soil Organisms,0,0.18,Somewhat limited,0.18,Somewhat limited,0.18,Somewhat limited,0.192,Somewhat limited,0,0,0,1572032775
22073717,825,"GRL - Fencing, Post Depth =<24 inches",2,855,GRL-Shrink-Swell of Thickest Layer Within 0-24 inches),1,0.846,Shrink-swell,0.913,Shrink-swell,0.913,Shrink-swell,0.978,Shrink-swell,0,0,0,1572032776
22073717,57990,SOH - Soil Susceptibility to Compaction,4,63589,SAS - Drainage Class Not Subaqueous (suit),1,1,Subaerial,1,Subaerial,1,Subaerial,1,Subaerial,0,0,0,1572032777
22073717,23575,"WMS - Irrigation, Surface (graded)",0,23575,"WMS - Irrigation, Surface (graded)",0,NA,Not rated,NA,Not rated,NA,Not rated,NA,Not rated,0,0,0,1572032778
22073717,70154,SOH - Limitations for Aerobic Soil Organisms,1,70156,SOH - Organism Habitat - Mean Annual Air Temperature (Lim),1,0.18,Mean annual air temperature somewhat limiting,0.18,Mean annual air temperature somewhat limiting,0.18,Mean annual air temperature somewhat limiting,0.18,Mean annual air temperature somewhat limiting,0,0,0,1572032779
22073717,825,"GRL - Fencing, Post Depth =<24 inches",3,826,"GRL-Too Clayey, 0-24 inches",1,0.395,18 to 45% Clay,0.571,18 to 45% Clay,0.571,18 to 45% Clay,0.726,18 to 45% Clay,0,0,0,1572032780
22073717,57990,SOH - Soil Susceptibility to Compaction,5,57989,Compaction Risk - Bulk Density Difference,1,0.537,Bulk density-compactibility to 30cm,0.537,Bulk density-compactibility to 30cm,0.537,Bulk density-compactibility to 30cm,0.537,Bulk density-compactibility to 30cm,0,0,0,1572032781
22073717,23575,"WMS - Irrigation, Surface (graded)",1,23602,WMS - Salinity => 4 mmhos/cm Somewhat Limiting (PAN),1,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,0,0,0,1572032782
22073717,70154,SOH - Limitations for Aerobic Soil Organisms,2,70165,SOH - Organisms Clay Content WTD_AVG to 30 cm Limiting,1,0.125,Clay content somewhat limiting,0.151,Clay content somewhat limiting,0.151,Clay content somewhat limiting,0.18,Clay content somewhat limiting,0,0,0,1572032783
22073717,825,"GRL - Fencing, Post Depth =<24 inches",4,857,GRL-Potential Frost Action = High,1,0.5,High potential frost action,0.5,High potential frost action,0.5,High potential frost action,0.5,High potential frost action,0,0,0,1572032784
22073717,23580,"WMS - Irrigation, General",0,23580,"WMS - Irrigation, General",0,NA,Not rated,NA,Not rated,NA,Not rated,NA,Not rated,0,0,0,1572032785
22073717,23575,"WMS - Irrigation, Surface (graded)",2,23605,"WMS - Excess Sodium, SAR 6 TO 20; 0-150cm (PAN)",1,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,0,0,0,1572032786
22073717,70154,SOH - Limitations for Aerobic Soil Organisms,3,70161,SOH - Organism Habitat - Electrical Conductivity Limiting,1,0.046,Electrical conductivity somewhat  limiting,0.046,Electrical conductivity somewhat  limiting,0.046,Electrical conductivity somewhat  limiting,0.046,Electrical conductivity somewhat  limiting,0,0,0,1572032787
22073717,25190,MIL - Bivouac Areas (DOD),0,25190,MIL - Bivouac Areas (DOD),0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1572032788
22073717,23580,"WMS - Irrigation, General",1,23602,WMS - Salinity => 4 mmhos/cm Somewhat Limiting (PAN),1,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,0,0,0,1572032789
22073717,23575,"WMS - Irrigation, Surface (graded)",3,23597,WMS - Slopes 1 to 3% (PAN),1,0.5,Slope,1,Slope,1,Slope,1,Slope,0,0,0,1572032790
22073717,70154,SOH - Limitations for Aerobic Soil Organisms,4,70164,SOH - Organism Habitat - Bulk Density Limitation 0 to 30cm,1,0.012,Bulk density somewhat  limiting,0.012,Bulk density somewhat  limiting,0.012,Bulk density somewhat  limiting,0.012,Bulk density somewhat  limiting,0,0,0,1572032791
22073717,25190,MIL - Bivouac Areas (DOD),1,41902,Depth to High Water Table 45 to 75cm,1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1572032792
22073717,23580,"WMS - Irrigation, General",2,23605,"WMS - Excess Sodium, SAR 6 TO 20; 0-150cm (PAN)",1,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,0,0,0,1572032793
22073717,23575,"WMS - Irrigation, Surface (graded)",4,23592,"WMS - Depth to Water Table 60-90cm, in growing season (PAN)",1,0,No wetness limitation,0.998,Depth to saturated zone,0.998,Depth to saturated zone,0.998,Depth to saturated zone,0,0,0,1572032794
22073717,70154,SOH - Limitations for Aerobic Soil Organisms,5,70155,SOH - Soil Organism Habitat pH,1,0,pH not limiting,0.009,pH somewhat limiting,0.009,pH somewhat limiting,0.192,pH somewhat limiting,0,0,0,1572032795
22073717,25190,MIL - Bivouac Areas (DOD),2,41905,Ksat Minimum 0.42 to 4.2 um/sec; 0 to 100cm,1,0,Water movent adequate,0.145,Slow water movement,0.145,Slow water movement,0.388,Slow water movement,0,0,0,1572032796
22073717,23580,"WMS - Irrigation, General",3,23592,"WMS - Depth to Water Table 60-90cm, in growing season (PAN)",1,0,No wetness limitation,0.998,Depth to saturated zone,0.998,Depth to saturated zone,0.998,Depth to saturated zone,0,0,0,1572032797
22073717,23575,"WMS - Irrigation, Surface (graded)",5,23613,Ksat Minimum; 0.14 to 1.4um/sec; 0 to 50cm,1,0.032,Rapid water movement,0.032,Rapid water movement,0.032,Rapid water movement,0.032,Rapid water movement,0,0,0,1572032798
22073717,62834,SOH - Organic Matter Depletion,0,62834,SOH - Organic Matter Depletion,0,0.498,OM depletion moderate,0.505,OM depletion moderate,0.505,OM depletion moderate,0.512,OM depletion moderate,0,0,0,1572032799
22073717,25191,MIL - Excavations Crew-Served Weapon Fighting Position (DOD),0,25191,MIL - Excavations Crew-Served Weapon Fighting Position (DOD),0,0.875,Somewhat limited,0.875,Somewhat limited,0.875,Somewhat limited,0.875,Somewhat limited,0,0,0,1572032800
22073717,23580,"WMS - Irrigation, General",4,23598,WMS - Slopes 1 to 15% (PAN),1,0.01,Slope,0.041,Slope,0.041,Slope,0.163,Slope,0,0,0,1572032801
22073717,37161,"WMS - Subsurface Water Management, System Performance",0,37161,"WMS - Subsurface Water Management, System Performance",0,NA,Not rated,NA,Not rated,NA,Not rated,NA,Not rated,0,0,0,1572032802
22073717,62834,SOH - Organic Matter Depletion,1,63583,SOH - Oxygen Exclusion During the Growing Season,1,1,Well aerated,1,Well aerated,1,Well aerated,1,Well aerated,0,0,0,1572032803
22073717,25191,MIL - Excavations Crew-Served Weapon Fighting Position (DOD),1,34225,Depth to Water Table 0 to 120cm,1,0.875,Depth to saturated zone,0.875,Depth to saturated zone,0.875,Depth to saturated zone,0.875,Depth to saturated zone,0,0,0,1572032804
22073717,23580,"WMS - Irrigation, General",5,23613,Ksat Minimum; 0.14 to 1.4um/sec; 0 to 50cm,1,0.032,Rapid water movement,0.032,Rapid water movement,0.032,Rapid water movement,0.032,Rapid water movement,0,0,0,1572032805
22073717,37161,"WMS - Subsurface Water Management, System Performance",1,37162,Salinity => 4 to 16 mmhos/cm,1,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,0,0,0,1572032806
22073717,62834,SOH - Organic Matter Depletion,2,63585,"Water Gathering Surface, Organic Depletion",1,1,Not water gathering surface,1,Not water gathering surface,1,Not water gathering surface,1,Not water gathering surface,0,0,0,1572032807
22073717,25191,MIL - Excavations Crew-Served Weapon Fighting Position (DOD),2,23768,"Unstable Excavation Walls, revised",1,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0,0,0,1572032808
22073717,23578,"WMS - Irrigation, Sprinkler (close spaced outlet drops)",0,23578,"WMS - Irrigation, Sprinkler (close spaced outlet drops)",0,NA,Not rated,NA,Not rated,NA,Not rated,NA,Not rated,0,0,0,1572032809
22073717,37161,"WMS - Subsurface Water Management, System Performance",2,37163,"Excess Sodium, SAR 4.5 to 13; 0-150cm",1,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,0,0,0,1572032810
22073717,62834,SOH - Organic Matter Depletion,3,63586,SOH - Clay Content WTD_AVG to 30 cm Organic,1,0.32,Medium amount of clay surface area,0.387,Medium amount of clay surface area,0.387,Medium amount of clay surface area,0.461,Medium amount of clay surface area,0,0,0,1572032811
22073717,25192,MIL - Excavations for Individual Fighting Position (DOD),0,25192,MIL - Excavations for Individual Fighting Position (DOD),0,0.32,Somewhat limited,0.32,Somewhat limited,0.32,Somewhat limited,0.32,Somewhat limited,0,0,0,1572032812
22073717,23578,"WMS - Irrigation, Sprinkler (close spaced outlet drops)",1,23602,WMS - Salinity => 4 mmhos/cm Somewhat Limiting (PAN),1,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,0,0,0,1572032813
22073717,37179,"WMS - Surface Water Management, System",0,37179,"WMS - Surface Water Management, System",0,NA,Not rated,NA,Not rated,NA,Not rated,NA,Not rated,0,0,0,1572032814
22073717,62834,SOH - Organic Matter Depletion,4,63582,SOH - Mean Annual Air Temperature (Oxidation Rate Proxy),1,0.353,Moderate oxidation rate,0.353,Moderate oxidation rate,0.353,Moderate oxidation rate,0.353,Moderate oxidation rate,0,0,0,1572032815
22073717,25192,MIL - Excavations for Individual Fighting Position (DOD),1,34335,Depth to Water Table 0 to 50cm,1,0.32,Depth to saturated zone,0.32,Depth to saturated zone,0.32,Depth to saturated zone,0.32,Depth to saturated zone,0,0,0,1572032816
22073717,23578,"WMS - Irrigation, Sprinkler (close spaced outlet drops)",2,23604,"WMS - Excess Sodium, SAR 6 TO 20; 0-100cm (PAN)",1,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,0,0,0,1572032817
22073717,37179,"WMS - Surface Water Management, System",1,37186,Salinity => 4 to 16 mmhos/cm in Depth 0 to 50cm,1,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,0,0,0,1572032818
22073717,62834,SOH - Organic Matter Depletion,5,63587,SOH - Moisture Deficit,1,0.294,Moderate moisture deficit,0.294,Moderate moisture deficit,0.294,Moderate moisture deficit,0.294,Moderate moisture deficit,0,0,0,1572032819
22073717,25193,MIL - Excavations for Vehicle Fighting Position (DOD),0,25193,MIL - Excavations for Vehicle Fighting Position (DOD),0,0.944,Somewhat limited,0.944,Somewhat limited,0.944,Somewhat limited,0.944,Somewhat limited,0,0,0,1572032820
22073717,23578,"WMS - Irrigation, Sprinkler (close spaced outlet drops)",3,23592,"WMS - Depth to Water Table 60-90cm, in growing season (PAN)",1,0,No wetness limitation,0.998,Depth to saturated zone,0.998,Depth to saturated zone,0.998,Depth to saturated zone,0,0,0,1572032821
22073717,37179,"WMS - Surface Water Management, System",2,37187,"Excess Sodium, SAR 6 TO 20; 0-60cm",1,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,0,0,0,1572032822
22073717,1405,URB/REC - Picnic Areas,0,1405,URB/REC - Picnic Areas,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1572032823
22073717,25193,MIL - Excavations for Vehicle Fighting Position (DOD),1,34345,Depth to Water Table 0 to 180cm,1,0.944,Depth to saturated zone,0.944,Depth to saturated zone,0.944,Depth to saturated zone,0.944,Depth to saturated zone,0,0,0,1572032824
22073717,23578,"WMS - Irrigation, Sprinkler (close spaced outlet drops)",4,23596,WMS - Slopes 1 to 5% (PAN),1,0.119,Slope,0.476,Slope,0.476,Slope,0.999,Slope,0,0,0,1572032825
22073717,393,ENG - Dwellings With Basements,2,23807,"Shrink-Swell (LEP WTD_AVG Above Bedrock or 60"") (revised)",1,0.91,Shrink-swell,0.91,Shrink-swell,0.91,Shrink-swell,0.91,Shrink-swell,0,0,0,1572032826
22073717,1405,URB/REC - Picnic Areas,1,401,"Wet, Ground Water Near the Surface (30 - 75cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1572032827
22073717,25193,MIL - Excavations for Vehicle Fighting Position (DOD),2,23768,"Unstable Excavation Walls, revised",1,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0,0,0,1572032828
22073717,23579,"WMS - Irrigation, Sprinkler (general)",0,23579,"WMS - Irrigation, Sprinkler (general)",0,NA,Not rated,NA,Not rated,NA,Not rated,NA,Not rated,0,0,0,1572032829
22073717,402,"ENG - Lawn, Landscape, Golf Fairway",0,402,"ENG - Lawn, Landscape, Golf Fairway",0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1572032830
22073717,1405,URB/REC - Picnic Areas,2,10624,"Percolation & Taxon Modification  to 40""",1,0,Ksat not restrictive,0.154,Slow water movement,0.154,Slow water movement,0.944,Slow water movement,0,0,0,1572032831
22073717,25194,MIL - Helicopter Landing Zones (DOD),0,25194,MIL - Helicopter Landing Zones (DOD),0,0,Not limited,0,Not limited,0,Not limited,0.4,Somewhat limited,0,0,0,1572032832
22073717,23579,"WMS - Irrigation, Sprinkler (general)",1,23602,WMS - Salinity => 4 mmhos/cm Somewhat Limiting (PAN),1,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,0,0,0,1572032833
22073717,402,"ENG - Lawn, Landscape, Golf Fairway",1,401,"Wet, Ground Water Near the Surface (30 - 75cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1572032834
22073717,1405,URB/REC - Picnic Areas,3,23660,Dust PM10 and PM2.5 Generation,1,0.038,Dusty,0.038,Dusty,0.038,Dusty,0.038,Dusty,0,0,0,1572032835
22073717,25207,MIL - Trafficability Veh. Type 5 1-pass wet season (DOD),0,25207,MIL - Trafficability Veh. Type 5 1-pass wet season (DOD),0,0.65,Fair,0.65,Fair,0.65,Fair,0.65,Fair,0,0,0,1572032836
22073717,23579,"WMS - Irrigation, Sprinkler (general)",2,23604,"WMS - Excess Sodium, SAR 6 TO 20; 0-100cm (PAN)",1,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,0,0,0,1572032837
22073717,402,"ENG - Lawn, Landscape, Golf Fairway",2,23660,Dust PM10 and PM2.5 Generation,1,0.038,Dusty,0.038,Dusty,0.038,Dusty,0.038,Dusty,0,0,0,1572032838
22073717,23576,"WMS - Irrigation, Micro (above ground)",0,23576,"WMS - Irrigation, Micro (above ground)",0,NA,Not rated,NA,Not rated,NA,Not rated,NA,Not rated,0,0,0,1572032839
22073717,25207,MIL - Trafficability Veh. Type 5 1-pass wet season (DOD),1,25687,"MIL - Slipperiness Veh. 5,6,7 wet season, Revised",1,0.65,Slippery,0.65,Slippery,0.65,Slippery,0.65,Slippery,0,0,0,1572032840
22073717,23579,"WMS - Irrigation, Sprinkler (general)",3,23592,"WMS - Depth to Water Table 60-90cm, in growing season (PAN)",1,0,No wetness limitation,0.998,Depth to saturated zone,0.998,Depth to saturated zone,0.998,Depth to saturated zone,0,0,0,1572032841
22073717,70151,ENG - Lined Retention Systems,0,70151,ENG - Lined Retention Systems,0,0.5,Somewhat limited,0.5,Somewhat limited,0.5,Somewhat limited,0.5,Somewhat limited,0,0,0,1572032842
22073717,23576,"WMS - Irrigation, Micro (above ground)",1,23604,"WMS - Excess Sodium, SAR 6 TO 20; 0-100cm (PAN)",1,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,NA,Not rated; SAR,0,0,0,1572032843
22073717,25207,MIL - Trafficability Veh. Type 5 1-pass wet season (DOD),2,25667,"MIL - Soil Strength Veh-5, VCI-1 wet season, Revised",1,0.93,High strength,0.93,High strength,0.93,High strength,0.93,High strength,0,0,0,1572032844
22073717,37167,"WMS - Subsurface Water Management, System Installation",0,37167,"WMS - Subsurface Water Management, System Installation",0,0.01,Somewhat limited,0.01,Somewhat limited,0.01,Somewhat limited,0.01,Somewhat limited,0,0,0,1572032845
22073717,70151,ENG - Lined Retention Systems,1,33408,Water Spreading Surface,1,0.5,Water spreading surface,0.5,Water spreading surface,0.5,Water spreading surface,0.5,Water spreading surface,0,0,0,1572032846
22073717,23576,"WMS - Irrigation, Micro (above ground)",2,23602,WMS - Salinity => 4 mmhos/cm Somewhat Limiting (PAN),1,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,NA,Not rated; EC,0,0,0,1572032847
22073717,25207,MIL - Trafficability Veh. Type 5 1-pass wet season (DOD),3,41913,"MIL - Slope Military Vehicle Type 3, 4 & 5",1,0.992,Slope,0.997,Slope,0.997,Slope,0.999,Slope,0,0,0,1572032848
22073717,37167,"WMS - Subsurface Water Management, System Installation",1,19329,Unstable Excavation Walls,1,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0,0,0,1572032849
22073717,70151,ENG - Lined Retention Systems,2,26956,SWM - Vegetation Establishment Difficulty,1,0.052,Vegetation establishment,0.052,Vegetation establishment,0.052,Vegetation establishment,0.1,Vegetation establishment,0,0,0,1572032850
22073717,23576,"WMS - Irrigation, Micro (above ground)",3,23592,"WMS - Depth to Water Table 60-90cm, in growing season (PAN)",1,0,No wetness limitation,0.998,Depth to saturated zone,0.998,Depth to saturated zone,0.998,Depth to saturated zone,0,0,0,1572032851
22073717,25208,MIL - Trafficability Veh. Type 5 50-passes wet season (DOD),0,25208,MIL - Trafficability Veh. Type 5 50-passes wet season (DOD),0,0.65,Fair,0.65,Fair,0.65,Fair,0.65,Fair,0,0,0,1572032852
22073717,10345,ENG - Construction Materials; Topsoil,0,10345,ENG - Construction Materials; Topsoil,0,0,Poor,0,Poor,0,Poor,0,Poor,0,0,0,1572032853
22073717,979,ENG - Sanitary Landfill (Area),0,979,ENG - Sanitary Landfill (Area),0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1572032854
22073717,989,ENG - Daily Cover for Landfill,2,23660,Dust PM10 and PM2.5 Generation,1,0.038,Dusty,0.038,Dusty,0.038,Dusty,0.038,Dusty,0,0,0,1572032855
22073717,25208,MIL - Trafficability Veh. Type 5 50-passes wet season (DOD),1,25687,"MIL - Slipperiness Veh. 5,6,7 wet season, Revised",1,0.65,Slippery,0.65,Slippery,0.65,Slippery,0.65,Slippery,0,0,0,1572032856
22073717,10345,ENG - Construction Materials; Topsoil,1,10344,"Wet, Ground Water Near the Surface (30 - 90cm)",1,0,Wetness,0,Wetness,0,Wetness,0,Wetness,0,0,0,1572032857
22073717,979,ENG - Sanitary Landfill (Area),1,14500,Wetness Perched 45-90 and Apparent,1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1572032858
22073717,989,ENG - Daily Cover for Landfill,3,37191,"Clay Content 25 to 180cm, Weighted Average",1,0,Not clay textured,0.03,Too clayey,0.03,Too clayey,0.156,Too clayey,0,0,0,1572032859
22073717,70149,"ENG - Ground-based Solar Arrays, Ballast Anchor Systems",2,399,Potential Frost Action > Low,1,1,Frost action,1,Frost action,1,Frost action,1,Frost action,0,0,0,1572032860
22073717,10345,ENG - Construction Materials; Topsoil,2,20948,"Clay and OM Content Thickest Layer to 40 inches, revised",1,0.869,Too clayey,0.99,Too clayey,0.99,Too clayey,1,Not too clayey,0,0,0,1572032861
22073717,979,ENG - Sanitary Landfill (Area),2,23660,Dust PM10 and PM2.5 Generation,1,0.038,Dusty,0.038,Dusty,0.038,Dusty,0.038,Dusty,0,0,0,1572032862
22073717,419,ENG - Sanitary Landfill (Trench),0,419,ENG - Sanitary Landfill (Trench),0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1572032863
22073717,70149,"ENG - Ground-based Solar Arrays, Ballast Anchor Systems",3,25890,Strength (AASHTO Group Index Weighted Average (25-100cm)),1,0.983,Low strength,1,Low strength,1,Low strength,1,Low strength,0,0,0,1572032864
22073717,398,ENG - Local Roads and Streets,0,398,ENG - Local Roads and Streets,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1572032865
22073717,302,ENG - Shallow Excavations,0,302,ENG - Shallow Excavations,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1572032866
22073717,419,ENG - Sanitary Landfill (Trench),1,14501,Wetness Perched 60-120 and Apparent,1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1572032867
22073717,70149,"ENG - Ground-based Solar Arrays, Ballast Anchor Systems",4,20030,Windthrow Hillslope Position,1,0.5,Hillslope position,0.5,Hillslope position,0.5,Hillslope position,0.5,Hillslope position,0,0,0,1572032868
22073717,398,ENG - Local Roads and Streets,1,401,"Wet, Ground Water Near the Surface (30 - 75cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1572032869
22073717,302,ENG - Shallow Excavations,1,304,"Wet, Ground Water Near the Surface (75 - 180cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1572032870
22073717,419,ENG - Sanitary Landfill (Trench),2,23660,Dust PM10 and PM2.5 Generation,1,0.038,Dusty,0.038,Dusty,0.038,Dusty,0.038,Dusty,0,0,0,1572032871
22073717,70150,"ENG - Ground-based Solar Arrays, Soil-based Anchor Systems",0,70150,"ENG - Ground-based Solar Arrays, Soil-based Anchor Systems",0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1572032872
22073717,398,ENG - Local Roads and Streets,2,399,Potential Frost Action > Low,1,1,Frost action,1,Frost action,1,Frost action,1,Frost action,0,0,0,1572032873
22073717,302,ENG - Shallow Excavations,2,23660,Dust PM10 and PM2.5 Generation,1,0.038,Dusty,0.038,Dusty,0.038,Dusty,0.038,Dusty,0,0,0,1572032874
22073717,419,ENG - Sanitary Landfill (Trench),3,37191,"Clay Content 25 to 180cm, Weighted Average",1,0,Not clay textured,0.03,Too clayey,0.03,Too clayey,0.156,Too clayey,0,0,0,1572032875
22073717,70150,"ENG - Ground-based Solar Arrays, Soil-based Anchor Systems",1,401,"Wet, Ground Water Near the Surface (30 - 75cm)",1,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,1,Depth to saturated zone,0,0,0,1572032876
22073717,398,ENG - Local Roads and Streets,3,25890,Strength (AASHTO Group Index Weighted Average (25-100cm)),1,0.983,Low strength,1,Low strength,1,Low strength,1,Low strength,0,0,0,1572032877
22073717,302,ENG - Shallow Excavations,3,23768,"Unstable Excavation Walls, revised",1,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0.01,Unstable excavation walls,0,0,0,1572032878
22073717,430,ENG - Sewage Lagoons,0,430,ENG - Sewage Lagoons,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1572032879
22073717,70150,"ENG - Ground-based Solar Arrays, Soil-based Anchor Systems",2,399,Potential Frost Action > Low,1,1,Frost action,1,Frost action,1,Frost action,1,Frost action,0,0,0,1572032880
