fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
3,5,6,,5,40,75,,,,65219613,112405139
0,2,3,,75,162,250,,,,65219613,112405140
0,3,6,,2,4,5,,,,65219632,112405193
3,5,6,,5,40,75,,,,65219632,112405194
0,2,3,,75,162,250,,,,65219632,112405195
0,3,6,,2,4,5,,,,65219359,112404860
3,5,6,,5,40,75,,,,65219359,112404861
0,6,11,,2,4,5,,,,65219278,112404737
0,2,3,,5,40,75,,,,65219278,112404738
0,3,6,,2,4,5,,,,65219591,112405116
3,5,6,,5,40,75,,,,65219591,112405117
0,0,0,Mixed rock fragments,75,140,250,Nonflat,Subrounded,Indurated,65222881,112411334
0,0,0,Mixed rock fragments,250,400,600,Nonflat,Subrounded,Indurated,65222881,112411335
0,2,3,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,65222881,112411336
0,0,0,Mixed rock fragments,5,20,75,Nonflat,Subrounded,Indurated,65222881,112411337
0,0,0,Mixed rock fragments,600,775,1000,Nonflat,Subrounded,Indurated,65222881,112411338
0,1,3,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,65221727,112407610
0,1,3,Mixed rock fragments,5,20,75,Nonflat,Subrounded,Indurated,65221727,112407611
0,0,0,Mixed rock fragments,75,140,250,Nonflat,Subrounded,Indurated,65221727,112407612
0,0,0,Mixed rock fragments,250,400,600,Nonflat,Subrounded,Indurated,65221727,112407613
0,0,0,Mixed rock fragments,600,775,1000,Nonflat,Subrounded,Indurated,65221727,112407614
0,2,3,,75,162,250,,,,65219414,112404963
0,6,11,,2,4,5,,,,65219414,112404964
0,3,6,,5,40,75,,,,65219414,112404965
0,6,11,,2,4,5,,,,65219587,112405104
0,3,6,,5,40,75,,,,65219587,112405105
0,2,3,,75,162,250,,,,65219587,112405106
0,2,3,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,65222888,112411344
0,0,0,Mixed rock fragments,5,20,75,Nonflat,Subrounded,Indurated,65222888,112411345
0,0,0,Mixed rock fragments,75,140,250,Nonflat,Subrounded,Indurated,65222888,112411346
0,0,0,Mixed rock fragments,250,400,600,Nonflat,Subrounded,Indurated,65222888,112411347
0,0,0,Mixed rock fragments,600,775,1000,Nonflat,Subrounded,Indurated,65222888,112411348
0,1,3,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,65221728,112407615
0,1,3,Mixed rock fragments,5,20,75,Nonflat,Subrounded,Indurated,65221728,112407616
0,0,0,Mixed rock fragments,75,140,250,Nonflat,Subrounded,Indurated,65221728,112407617
0,0,0,Mixed rock fragments,600,775,1000,Nonflat,Subrounded,Indurated,65221728,112407618
0,0,0,Mixed rock fragments,250,400,600,Nonflat,Subrounded,Indurated,65221728,112407619
0,3,6,,2,4,5,,,,65219269,112404719
3,5,6,,5,40,75,,,,65219269,112404720
0,3,6,,2,4,5,,,,65221854,112407751
3,5,6,,5,40,75,,,,65221854,112407752
0,6,11,,2,4,5,,,,65219643,112405226
0,3,6,,5,40,75,,,,65219643,112405227
0,2,3,,75,162,250,,,,65219643,112405228
