geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landscape,uplands,,2,NA,Yes,22087331,34395534
Landform,flood plains,,1,2,Yes,22087256,34393978
Landscape,river valleys,,2,NA,Yes,22087256,34395252
Landform,flood plains,,1,2,Yes,22087257,34393977
Landscape,river valleys,,2,NA,Yes,22087257,34395251
Landform,hillslopes,,1,2,Yes,22087345,34393832
Landscape,uplands,,2,NA,Yes,22087345,34395514
Landform,hillslopes,,1,2,Yes,22087346,34393831
Landscape,uplands,,2,NA,Yes,22087346,34395513
Landform,stream terraces,,1,2,Yes,22087271,34395688
Landscape,river valleys,,2,NA,Yes,22087271,34395309
Landform,stream terraces,,1,2,Yes,22087272,34394067
Landscape,river valleys,,2,NA,Yes,22087272,34395308
Landform,alluvial fans,,1,2,Yes,22087231,34393787
Landscape,river valleys,,2,NA,Yes,22087231,34395288
Landform,flood plains,,1,2,Yes,22087232,34393972
Landscape,river valleys,,2,NA,Yes,22087232,34395287
Landform,alluvial fans,,1,2,Yes,22087233,34393786
Landscape,river valleys,,2,NA,Yes,22087233,34395286
Landform,alluvial fans,,1,2,Yes,22087234,34393789
Landscape,river valleys,,2,NA,Yes,22087234,34395305
Landform,hillslopes,,1,2,Yes,22087273,34393931
Landscape,uplands,,2,NA,Yes,22087273,34395509
Landform,hillslopes,,1,2,Yes,22087274,34393930
Landscape,uplands,,2,NA,Yes,22087274,34395508
Landform,hillslopes,,1,2,Yes,22087275,34393929
Landscape,uplands,,2,NA,Yes,22087275,34395507
Landform,hillslopes,,1,2,Yes,22087353,34393928
Landscape,uplands,,2,NA,Yes,22087353,34395506
Landform,hillslopes,,1,2,Yes,22087354,34393927
Landscape,uplands,,2,NA,Yes,22087354,34395505
Landform,hillslopes,,1,2,Yes,22087355,34393926
Landscape,uplands,,2,NA,Yes,22087355,34395504
Landform,hillslopes,,1,2,Yes,22087356,34393925
Landscape,uplands,,2,NA,Yes,22087356,34395503
Landform,hillslopes,,1,2,Yes,22087357,34393887
Landscape,uplands,,2,NA,Yes,22087357,34395441
Landform,hillslopes,,1,2,Yes,22087358,34393886
Landscape,uplands,,2,NA,Yes,22087358,34395721
Landform,hillslopes,,1,2,Yes,22087359,34393885
Landscape,uplands,,2,NA,Yes,22087359,34395537
Landform,hillslopes,,1,2,Yes,22087360,34393884
Landscape,uplands,,2,NA,Yes,22087360,34395536
Anthropogenic Feature,sand pits,,3,7,No ,22088566,34395636
Anthropogenic Feature,ponds,,1,8,Yes,22088566,34395634
Anthropogenic Feature,gravel pits,,4,7,No ,22088566,34395632
Anthropogenic Feature,borrow pits,,6,8,No ,22088566,34395631
Anthropogenic Feature,quarries,,5,8,No ,22088566,34392935
Landform,oxbow lakes,,2,7,No ,22088566,34395687
Landscape,uplands,,8,NA,Yes,22088566,34395500
Landscape,river valleys,,7,NA,No ,22088566,34395293
