monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104860
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104861
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104859
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104865
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073928,231104862
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109096
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109098
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109099
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109100
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109101
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109102
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109103
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109105
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109106
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109104
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109095
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074289,231109097
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109114
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109117
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109115
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109113
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109112
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109110
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109111
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109108
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109109
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109107
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109118
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074290,231109116
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109119
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109129
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109128
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109127
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109126
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109124
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109125
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109122
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109123
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109121
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109130
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074291,231109120
10,October,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109134
3,March,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109141
9,September,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109135
11,November,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109133
8,August,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109136
7,July,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109137
5,May,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109139
6,June,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109138
2,February,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109142
4,April,Frequent,Very brief (4 to 48 hours),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109140
1,January,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109131
12,December,,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074292,231109132
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102342
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102344
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102347
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102345
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102346
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102348
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102350
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102349
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102341
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102340
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102339
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073717,231102343
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102355
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102354
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102356
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102359
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102357
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102358
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102360
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102362
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102361
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102353
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102352
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073718,231102351
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106516
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106519
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106518
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106520
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106523
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106521
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106522
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106525
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106524
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106526
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106515
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074067,231106517
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106528
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106531
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106530
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106532
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106533
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106535
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106534
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106537
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106536
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106538
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106527
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074068,231106529
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106773
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106771
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106769
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106775
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106767
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106776
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106772
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106770
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106768
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106778
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106777
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074095,231106774
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106780
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106783
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106784
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106782
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106787
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106785
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106786
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106789
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106788
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106790
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106779
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074096,231106781
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106792
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106793
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106800
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106802
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106797
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106795
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106801
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106794
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106798
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106791
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106796
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,22074097,231106799
